Title	Order	Category	Min players	Max players	Best # of Players	Difficulty	Duration	max duration	Min Player Age	BGG Rating	Type of Game	Classic	co-op	Party	Expansion	Description	Notes
The Isle of Cats Duel												FALSE	FALSE	FALSE	FALSE		
5211 Azul	3	Lighter	2	5	4	1.19	20	30	8	6.32	family	FALSE	FALSE	FALSE	FALSE	Outwit your friends in this quick and clever abstract. Watch out for the kododos!	
7 Wonders	4	Standard	2	7	4–5	2.32	30	30	10	7.68	Family, Strategy, Card Drafting	FALSE	FALSE	FALSE	FALSE	Draft cards to develop your ancient civilization and build its Wonder of the World.	
7 Wonders Duel	7	2-Player	2	2	2	2.22	30	30	10	8.09	Strategy, Card Drafting	FALSE	FALSE	FALSE	FALSE	Science? Military? What will you draft to win this head-to-head version of 7 Wonders?	2 copies
7 Wonders Duel: Pantheon	7	2-Player	2	2	2	2.31	30	30	10	8.00	strategy	FALSE	FALSE	FALSE	TRUE	Create a unique pantheon of gods to worship in this expansion for 7 Wonders Duel!	
7 Wonders: Babel	4	Standard	2	7	5	2.66	45	45	10	6.88	Strategy, Card Drafting	FALSE	FALSE	FALSE	TRUE	Help build the Tower of Babel to gain your just reward or pay the price if you don't.	
Above and Below	4	Standard	2	4	3	2.52	90	90	13	7.36	Thematic, exploration, storytelling, dice rolling	FALSE	FALSE	FALSE	FALSE	Build your newly founded village above while exploring the caves and stories below.	
Acquire	4	Standard	2	6	4	2.49	90	90	12	7.35	strategy	FALSE	FALSE	FALSE	FALSE	Invest, divest, and stage hostile takeovers in this classic real estate game.	
Adulthood	4	Standard	1	4	4	2.33	45	45	13	7.08		FALSE	FALSE	FALSE	FALSE	Spend your time, energy, and money to navigate your adult life.	
Adventure Games: Monochrome Inc.	6	Co-Op	1	4	2	1.92	75	75	16	6.57	thematic	FALSE	TRUE	FALSE	FALSE	Investigate a mysterious drug company in this cooperative, story-driven adventure.	
Adventures of Robin Hood, The	4	Standard	2	4	2	1.84	60	60	10	7.47	thematic	FALSE	FALSE	FALSE	FALSE	Take on the role of Robin Hood in a cooperative game that changes while you play.	
Aeon's End	5	Advanced	1	4	2	2.81	60	60	14	7.89	strategy	FALSE	FALSE	FALSE	FALSE	Mages must reach their full potential to defend humanity from terrible monstrosities.	
Agricola: All Creatures Big and Small – The Big Box	7	2-Player	2	2	2	2.32	30	30	13	7.64	strategy	FALSE	FALSE	FALSE	FALSE	Two animal farmers expand their farms to breed the most sheep, pigs, cows and horses.	
Ahoy	5	Advanced	2	4	3–4	2.91	45	75	14	7.31	strategy	FALSE	FALSE	FALSE	FALSE	Different factions vie for fame on the high seas.	
Akropolis	4	Standard	1	4	3	1.78	20	30	8	7.48	family	FALSE	FALSE	FALSE	FALSE	Build your Greek city on multiple levels to keep your districts perfectly placed.	
Alchemists	5	Advanced	2	4	4	3.92	120	120	13	7.64	strategy	FALSE	FALSE	FALSE	FALSE	Showcase your alchemical know-how by publishing theories in this app-driven game.	
Alhambra	4	Standard	2	6	3	2.10	45	60	8	7.03	Family, Strategy, Tile Placement	FALSE	FALSE	FALSE	FALSE	Compete to build the most valuable picturesque walled city in 13th-century Granada.	
Alice is Missing	6	Co-Op	3	5			120	180	16		rpg	FALSE	TRUE	FALSE	FALSE		
ALIEN: Fate of the Nostromo	4	Standard	1	5	3	1.96	45	60	10	7.08	thematic	FALSE	FALSE	FALSE	FALSE	You can't defeat the Alien, so use what's at hand to keep it at bay until you escape.	
Almost Innocent	4	Standard	2	5	3	1.89	30	45	12	7.25		FALSE	FALSE	FALSE	FALSE	A cooperative deduction game of proving your (almost) innocence.	
Alpaca	4	Standard	2	4	2	2.13	30	30	10	6.56		FALSE	FALSE	FALSE	FALSE	Try to create the best alpaca ranch, collecting the most beautiful alpacas.	
Amalfi: Renaissance	5	Advanced	1	4	3	3.31	60	120	14	7.73	strategy	FALSE	FALSE	FALSE	FALSE	A unique mechanism where ships give you actions and also manage your resources.	
Amritsar: The Golden Temple	5	Advanced	1	4	3	3.33	60	120	14	7.49		FALSE	FALSE	FALSE	FALSE	The Maharaja needs your mancala skills and your elephant to rebuild the temple.	
Amun-Re: 20th Anniversary Edition	5	Advanced	2	5	5	2.95	90	90	12	7.53	strategy	FALSE	FALSE	FALSE	FALSE	As Pharaoh, participate in auctions to buy land and build pyramids to your greatness!	
Anachrony	5	Advanced	1	4	3	4.01	30	120	15	8.07	strategy	FALSE	FALSE	FALSE	FALSE	Use Exosuits & time travel to ensure your vision for the future after the cataclysm.	
Android: Mainframe	4	Standard	2	4	2	1.84	15	30	12	6.57	Customizable, Bluffing, Deck Building	FALSE	FALSE	FALSE	FALSE	Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.	
Android: Netrunner	7	2-Player	2	2	2	3.41	45	45	14	7.89	Abstract Strategy, Open Drafting, Enclosure	FALSE	FALSE	FALSE	FALSE	Enter the system, control as many regions of data as you can, and emerge victorious. 	
Animals of Baker Street, The	6	Co-Op	1	4	2	1.78	45	45	10	7.67	thematic	FALSE	TRUE	FALSE	FALSE	Lead the investigation of Baker Street with Toby's animal crew!	
Ankh: Gods of Egypt	5	Advanced	2	5	2, 4	3.12	90	90	14	7.79	strategy	FALSE	FALSE	FALSE	FALSE	Take the role of Egyptian gods fighting to survive and be remembered.	
Anomia	1	Party	3	6	5	1.04	30	30	10	6.69	Party Game, Pattern Recognition, Word Game	FALSE	FALSE	TRUE	FALSE	Card matching with words on the tip of your tongue...	
Anomia: Party Edition	1	Party	3	6	5–6	1.02	30	30	10	7.10	Party Game, Pattern Recognition, Word Game	FALSE	FALSE	TRUE	FALSE	Adds 6 new decks to the Anomia card game family.	
Apiary	5	Advanced	1	5	3	2.96	60	90	14	7.82	strategy	FALSE	FALSE	FALSE	FALSE	Hyper-intelligent bees take to outer space to build, explore, and grow.	
Apples to Apples	1	Party	4	10	6–8	1.15	20	30	12	5.74	party	FALSE	FALSE	TRUE	FALSE	Choose silly or clever word matches to win this popular party game.	
Architects of the West Kingdom	4	Standard	1	5	4	2.76	60	80	12	7.73	Strategy, City Building, Worker Placement	FALSE	FALSE	FALSE	FALSE	Will you be a virtuous or nefarious servant of the king? Build your way to glory.	
Arcs	5	Advanced	2	4	3–4	3.38	60	120	14	8.26	strategy	FALSE	FALSE	FALSE	FALSE	Guide your faction through a space opera.	
Arctic Scavengers	4	Standard	2	5	4	2.26	45	60	12	6.76	Strategy, Bluffing, Deck/Bag/Pool Building	FALSE	FALSE	FALSE	FALSE	Fight, gamble and bluff in this desperate struggle for diminishing resources.	
Arctic Scavengers: Recon	4	Standard	1	5	3–4	2.29	30	60	13	7.13	Strategy, Bluffing, Deck/Bag/Pool Building	FALSE	FALSE	FALSE	TRUE	This expansion adds new tribe leader roles, new mercenaries, new equipment, and new levels of player interaction (i.e., new ways to make your opponents feel pain).	
Ark Nova	5	Advanced	1	4	2	3.77	90	150	14	8.53	strategy	FALSE	FALSE	FALSE	FALSE	Plan and build a modern, scientifically managed zoo to support conservation projects.	
Arkham Horror	6	Co-Op	1	8	4	3.58	120	240	14	7.24	thematic	FALSE	TRUE	FALSE	FALSE	Work as a team to save the town of Arkham from monsters and a Great Old One.	
Asara	4	Standard	2	4	4	2.34	45	45	9	7.00	strategy, family	FALSE	FALSE	FALSE	FALSE	Challenge rival architects to build the tallest towers for the Caliph of Asara.	
Ascension X: War of Shadows	4	Standard	2	4	2	2.00	30	45	13	7.52	strategy	FALSE	FALSE	FALSE	FALSE	Infuse heroes and constructs with the powers of Sun and Moon in the quest for honor.	
Ascension: Deckbuilding Game	4	Standard	1	4	2	2.14	30	30	13	7.04	strategy	FALSE	FALSE	FALSE	FALSE	Forge your deck with mighty heroes and constructs to claim the most honor.	
Assault of the Giants	5	Advanced	3	6	4–5	3.42	60	150	14	6.66	Strategy, Action Retrival, Dice rolling, Open Drafting	FALSE	FALSE	FALSE	FALSE	Diverse giant tribes compete to complete unique goals by chaining card actions. 	
Atlantis Rising (Second Edition)	6	Co-Op	1	7	4	2.45	60	120	10	7.52	strategy, family	FALSE	TRUE	FALSE	FALSE	Work together to build the a mystical portal to save the city of Atlantis before all is lost benieth the waves!	
Autumn	3	Lighter	1	3	2–3	1.13	10	20	8	6.49	family	FALSE	FALSE	FALSE	FALSE	Build the best pattern of fallen leaves.	
Azul Duel	7	2-Player	2	2	2	2.33	30	45	10	6.84		FALSE	FALSE	FALSE	FALSE	Decorate a palace ceiling after creating your own pattern.	
Babylonia	4	Standard	2	4	3–4	2.37	60	60	14	7.66	strategy	FALSE	FALSE	FALSE	FALSE	Compete for the land and cities between the rivers while commanding mighty ziggurats.	
Backgammon	2	Classic	2	2	2	2.01	30	30	8	6.56	abstracts	TRUE	FALSE	FALSE	FALSE	Quickly roll & move your pieces off the board, but don't leave lone ones defenseless!	
Bamboo	5	Advanced	2	4	3	2.88	90	110	14	7.18	strategy	FALSE	FALSE	FALSE	FALSE	Harvest your bamboo crops and build your family's homestead.	
Bamboozled	1	Party	2	8	6–8	1.00	5	15	8	5.78		FALSE	FALSE	TRUE	FALSE	Bamboozled is a fast-paced party style bluffing game. 	
Bananagrams	1	Party	1	8	3–5	1.30	15	15	7	6.40	Family, Word Game, tile placement, spelling	FALSE	FALSE	TRUE	FALSE	Race to arrange your letter tiles into a crossword before anyone else.	
