Title	# of Players	Best # of Player	Difficulty	Duration	Player Age (BGG community)	Type of Game	BGG Rating	Description	Notes
7 Wonders	2-7	4-5, 7	2.32/5	30 min	10+	Family, Strategy, Card Drafting	7.7	Draft cards to develop your ancient civilization and build its Wonder of the World.	
7 Wonders Babel	2-7	5, 7	2.66/5	45 min	10+	Strategy, Card Drafting	6.9	Help build the Tower of Babel to gain your just reward or pay the price if you don't.	
7 Wonders Duel x 2	2	2	2.22/5	30 min	10+	Strategy, Card Drafting	8.1	Science? Military? What will you draft to win this head-to-head version of 7 Wonders?	
7 Wonders Duel Pantheon									
A Feast For Odin									
A Game of Thrones the Board Game	3-6	6	3.73/5	120-240 min	14+	Strategy, Bluffing, political, fantasy	7.5	Make alliances—and break them!—as you strive to both unite and conquer Westeros.	
A Game of Thrones the Board Game - A Dance with Dragons expansion	6	6	3.37/5	180 min	14+	Strategy, Negotiation, Influence	7.9	The great Battles of Westeros now with alternate setup and new house cards. 	
A Game of Thrones the Board Game - A Feast for Crows expansion	4	4	3.4/5	120 min	14+	Strategy, Negotiation, Influence	7.9	The great Battles of Westeros now with House Arryn and Objective cards. 	
A Touch Of Evil: The Supernatural Horror Game (Revised Edition) 									
Above and Below	2-4	3	2.52/5	90 min	13+	Thematic, exploration, storytelling, dice rolling	7.4	Build your newly founded village above while exploring the caves and stories below.	
AEG Black Box : Guildhall, Maximum Throwdown: Overload, Seventh Hero,Trains	2-6	3	2.5/5	20-45 min	12+	Family, Strategy, Hand Management, Action/Dexterity, bluffing, deduction, Deck, Bag, and Pool Building, Network and Route Building,	7	Of the games included, two are variant editions set in some of AEG's RPG / Expandable Card Game settings, one was previously unreleased, and the biggest game was unaltered: Guildhall - (variant: Seven Seas theme), Maximum Throwdown: Overload (a previously unreleased standalone expansion for Maximum Throwdown), Seventh Hero (variant: Doomtown theme), Trains (unchanged)	
Agricola: All Creatures Big and Small Big Box									
Alchemists									
